NAME,OTHER NAMES,EST.,GRAVE LISTING/,TOWNSHIP,MAP LOCATION/,NOTES,CONDITION,LAT,LONG
Abel White,---,1817,Burial Listing,Brookville,S24,"Located in the northwest corner of Section 24 of Brookville Twp, off Whitcomb Road. This cemetery involved the same White family as in Bath Twp which was restored in 2009. PHOTO BY DON DUNAWAY",RESTORED 2010,---,---
Adams,---,1826,Burial Listing,Laurel,S34-T12N-R12E,"1/2 mile North of US 52, 2 miles West of Metamora. Located on private property with no public access. PHOTO BY CEMETERY COMMISSION",RESTORED 2009,39.4536,-85.1672
Alden,---,1844,Burial Listing,Dearborn Co,S23-T8N-R3W,"On West County Line Road, south of Walters Road in Dearborn County",Unknown,39.2592,-85.0744
"Alley, John","Jones-Gloshen, Jones-Clawson, Frank White, Wolf Creek",1830,Burial Listing,Butler,S21-T11N-R13E,.3 miles east of Oak Forest junction of St Mary's and Wolf Creek Roads,RESTORED 2007,39.3839,-85.08
Alley-Wolf,---,1879,Burial Listing,Metamora,---,"Intersection of Hundley Rd and Pipe Creek Rd, E. side of road.",Fair,---,---
Altare,---,Unknown,Burial Listing,---,---,---,Unknown,---,---
Ancient Grave Yard,---,,Burial Listing,Brookville,S20-T9N-R2,On Fairfield Avenue in Brookville east of 11th Street-no stones,Unable to locate,---,---
Anspach Farm,Harvey,1821,Burial Listing,Blooming Grove,---,"East of Blooming Grove, northside of Fairfield Causeway Road",RESTORED 2005,---,---
Asbury,Fruits,1820,Burial Listing,Springfield,S23-T9N-R1W,2.5 miles NE of Mt Carmel-2.5 miles NW of Scipio. It is locatedon a high mound west of Raymond Road and south of Merrill Road overlooking Dry Fork Creek. The Asbury Methodist Church was torn down on the site in 1925. PHOTO BY DON DUNAWAY.,RESTORED 2008,39.4244,-84.845
Ashton,---,1827,Burial Listing,Whitewater,S8-T8N-R1W,2 miles southwest of Mt Carmel. PHOTO BY ED BAKER.,RESTORED 2008,---,---
Baptist,Old Johnson Fork Baptist,1815,Burial Listing,Whitewater,S26-T8N-R1W,"1 mile south of Drewersburg, on the corner of Drewersburg Road and Carolina Trace Road",Excellent,39.3272,-84.8389
Barnes,---,1836,Burial Listing,Salt Creek,S17-T11N-R12E,This cemetery was in the tornado of 1974. Named after the former landowner. P19051 Walnut Fork Road.,RESTORED 2010,39.3986,-85.2233
Beeler,---,1878,Burial Listing,Metamora,---,19051 Walnut Fork Road,Poor,---,---
Berg-Harding,"Harding, John Harding",1838,Burial Listing,Highland,S13-T8N-R2W,On land formerly owned by the Harding Family. East of State Road 1. ,RESTORED 2005,---,---
Berry,---,1834,Burial Listing,Brookville,S26-T9N-R2W,"Located 3.5 miles east of Brookville on State Road 252 on the southside of the road, 500 south of 252 and east of Holland Road.",RESTORED 2005,39.4164,-84.9539
Bertenshaw,---,1865,Burial Listing,Springfield,S33-T9N-R1W,"Cemetery is situated on a knoll south of small stream in the middle of a corn field. (The commission cannot provide care for Bertenshaw, as it was established after 1850.",Unknown,39.3937,-84.8762
Bethlehem,---,1831,Burial Listing,Bath,S22-T10N-R1W,North on Barkley Road from Bath about 1/2 mile on the left. ,RESTORED 2010,39.5156,-84.8558
