NAME,ALTERNATE NAME,DESIGNATION,ORIGINAL LOCATION,TOWNSHIP,MOVED TO,NOTES
Kober,Kolter,Number 1,SE S17-19N-R2W,Brookville,Sims-Brier,Two stones with unknown information.
Abner-McCarty,,Number 2,NW S21-T9N-R2W,Brookville,Sims-Brier,"Two known, plus 25 stones with unknown information."
Grace Stout,Logan,Number 3,NW S9-T9N-R2W,Brookville,Sims-Brier,"Six plots, all from the Logan Family."
Gavin,Gravin,Number 4,NW S15-T9N-R2W,Brookville,Sims-Brier,"Five known, plus 16 stones with unknown information."
Old Templeton,,Number 5,SW S4-T9N-R2W,Brookville,Sims-Brier,"36 known, plus 26 stones with unknown information."
Klipple,,Number 6,SW S32-T10N-R2W,Fairfield,Sims-Brier,Three known.
Dickerson,,Number 7,NE Half of S34-T10-R2W,Fairfield,Sims-Brier,"Seven known, plus eight stones with unknown information."
Barrickman,,Number 8,SE S25-T10N-R2W,Fairfield,Sims-Brier,"Three known, plus 17 stones with unknown information."
Brier,"Brick, Fairfield South",Number 9,Unknown,Unknown,Sims-Brier,237 known.
Leviston and Templeton,Templeton,Number 10,Unknown,Unknown,Sims-Brier,Seven known.
Harrell,Ewing,Number 11,Unknown,Unknown,Sims-Brier,Four known.
Sims,,Number 12,Unknown,Unknown,Sims-Brier,779 known.
Jonas,,Number 13,Unknown,Unknown,Sims-Brier,One unmarked grave of Wendall and Barbara Luker. No dates.
